x	y
456.528435	292.920767
459.660013	293.068255
462.258023	293.309371
465.187500	293.548325
467.853383	293.080201
469.953186	293.319246
472.565079	293.138413
475.275418	293.185972
477.516753	293.250000
480.321853	293.192235
482.909623	293.459038
485.559194	293.575567
487.990092	293.776750
491.181818	294.248528
493.854331	294.458005
496.589657	294.631968
499.094663	294.536213
501.744376	295.372188
504.176667	295.616667
506.387271	295.641165
508.211142	295.941541
509.875661	296.154762
511.083333	295.987805
512.838900	295.927963
514.271072	296.068105
515.601870	295.819639
516.667316	295.619233
517.693143	295.353021
519.050591	295.413272
520.144986	295.539295
521.628405	295.711414
522.560779	295.838818
523.726712	295.641096
524.696990	295.768325
525.909769	295.948440
527.246073	296.418194
527.871813	296.532736
528.599193	296.726967
528.840000	296.623729
529.478992	296.675070
529.524915	296.720819
529.906750	296.551844
529.814129	296.517833
529.129054	296.464189
528.982444	296.328157
528.501674	296.316812
527.563351	296.021798
526.925926	295.828460
526.229822	295.542408
525.672948	295.599596
524.869651	295.578670
524.573056	295.845174
523.830091	296.060960
522.546392	295.943643
521.800000	295.782951
521.129630	295.861772
519.828197	296.140984
518.638353	296.030245
517.065030	296.045786
515.612945	296.147573
513.819683	295.954425
511.898012	295.715202
509.535851	295.661972
507.175312	295.297439
505.085535	294.937736
502.418217	294.677999
500.048215	294.584220
497.992958	294.635723
495.219638	294.442506
492.924954	294.337401
490.942271	294.062861
488.475836	294.037794
486.410634	294.239590
483.967904	294.288861
481.626969	294.458727
478.887589	294.302794
475.963648	293.990758
473.448232	294.164141
470.346369	293.854749
467.300125	293.996264
464.218828	293.841022
460.860666	293.229963
457.686032	293.105068
454.353541	292.591236
450.907184	292.394151
447.543492	292.231339
443.767671	291.979717
440.646259	291.722944
437.733900	291.542527
434.757671	291.425798
431.566265	291.431833
428.571251	291.329807
425.471910	291.279026
422.769885	291.271403
420.066498	291.385687
416.826193	291.149939
414.176395	291.077614
411.039018	290.876023
407.853491	290.509975
404.619078	290.360435
401.238215	290.228158
397.766166	290.029393
394.359627	289.313665
390.890645	288.932996
388.044671	288.762604
384.870865	288.741730
381.518713	288.493106
378.914286	288.191111
376.429882	288.149410
373.340397	288.465563
371.192206	288.407530
368.732394	288.489604
367.175291	288.387451
364.653795	288.685087
362.569409	288.336118
360.289402	288.538723
358.167007	288.299932
355.723490	288.191946
353.396006	287.968320
350.661279	287.536027
348.935668	287.278771
346.661538	287.008392
344.229861	286.786111
341.968948	286.529993
340.106529	286.503780
338.330070	286.213986
336.603484	286.188850
335.056497	286.248588
334.296218	286.067227
333.130886	286.148199
331.984683	286.152443
331.220113	286.318565
330.869690	286.432685
330.223006	286.581510
329.319889	286.404729
328.396814	286.664012
327.863254	286.545582
326.774762	286.556860
326.260745	286.435530
325.592297	286.419331
324.907261	286.305536
324.572250	286.106398
323.606856	285.979577
323.508244	286.011470
323.459736	286.033675
323.356777	285.895238
323.446299	285.878084
323.369853	285.708088
324.120000	285.957857
324.683321	285.795004
325.535515	286.174791
326.800875	286.461707
327.742402	286.615774
328.497866	286.570413
330.285301	287.039102
330.717655	287.013581
331.510160	287.075472
332.722420	286.945907
333.980728	286.984297
334.384393	286.851879
335.644103	286.528960
336.607843	286.702977
337.834602	286.678201
339.055241	286.500000
340.916491	286.697544
343.621379	287.070345
345.398872	287.243129
347.403545	287.107703
349.205882	287.193277
352.334015	288.042945
354.642809	288.149223
356.968363	288.742779
359.808238	288.994598
361.883368	288.561077
364.253342	288.695187
367.008086	289.257412
369.507621	289.355202
371.637203	289.793536
374.215466	289.721084
376.134604	289.360787
378.649180	289.693115
381.507443	289.667314
383.642767	289.640881
386.288136	289.544884
389.007453	289.640994
392.124682	289.784351
395.289783	289.990712
398.870417	290.569532
401.838854	291.054140
405.114570	291.252802
408.539197	291.275972
411.920922	291.613325
415.263933	292.215887
418.486137	292.314849
421.457197	292.098922
424.440303	292.538219
427.397268	292.397268
429.991865	292.196496
432.423853	292.619572
435.926290	292.336609
438.507435	292.411400
441.664020	292.500305
444.410480	292.575172
447.117541	292.555756
450.211683	292.983040
453.168601	293.359194
456.363524	293.337646
459.430451	293.724311
462.770254	293.807134
465.414432	294.323755
468.742945	294.704908
471.416774	294.796129
474.147059	295.120205
476.559146	294.972561
479.200380	295.455929
481.494808	295.107514
483.622150	295.405863
485.484217	295.290404
487.493133	295.359058
489.832355	295.227006
491.930730	295.576826
493.749507	295.276792
495.615674	295.201881
497.428663	295.419023
499.402966	295.803353
501.517572	295.953355
503.475506	296.401045
505.279950	296.435687
506.789788	296.350133
508.580995	296.841837
509.871447	296.765504
511.224238	296.851588
512.279115	296.864671
513.658194	296.883612
514.129987	296.932432
514.891432	296.606279
515.210216	296.737394
515.881935	296.696774
516.300196	296.465010
516.486191	296.470777
516.830164	296.555410
517.002604	296.444010
517.050098	296.407287
517.590791	296.331388
517.771208	296.280206
517.770033	296.337459
518.029070	296.348191
517.880782	296.587622
517.988173	296.791721
517.775537	296.750813
517.507256	296.897098
517.040204	296.701978
516.342708	296.629169
515.364978	296.716485
514.804362	296.831302
513.033965	296.501633
511.904118	296.232329
510.299613	295.873067
508.601490	295.919926
507.017926	295.911012
505.439875	295.889720
504.264151	295.592453
502.718730	295.507937
501.351368	295.496049
499.437662	295.664286
498.116366	295.616677
496.198885	295.414498
494.182674	295.707470
492.355542	295.462144
490.242178	295.245307
488.045126	295.168472
485.701157	295.419023
483.110000	295.271875
480.371731	294.723537
477.926576	294.711501
475.406769	293.985846
472.115960	294.002494
469.458637	294.024331
466.080545	293.749690
463.608452	293.443754
460.719854	293.521924
458.485003	293.551372
455.422263	293.212341
452.735149	293.323639
449.975610	293.005488
447.580224	292.685323
444.385965	293.158521
441.767372	292.931722
439.182327	292.864343
436.256300	292.838353
433.014438	292.462649
429.900625	292.022500
426.885176	291.743621
424.010198	291.611855
420.695062	291.478395
417.172630	291.263026
414.044951	290.887931
411.287756	290.753263
408.250472	290.362492
405.028313	289.976506
402.000642	290.096277
399.086929	289.994289
396.414839	290.043871
393.672291	289.759896
391.667089	289.558861
388.896482	289.634641
386.323077	289.397436
383.717966	289.311096
381.697764	289.495847
378.778131	289.157025
376.316612	289.072313
373.884319	288.928021
371.388504	288.869114
368.615082	288.236721
366.447316	288.022531
363.709079	287.842280
361.107280	287.438697
358.752747	287.695055
356.999329	287.540268
355.061602	287.617385
353.205024	287.210455
351.154164	287.001376
349.469938	286.864547
348.041265	287.155433
346.639344	287.138988
345.566232	287.052162
344.055675	286.791577
342.605339	286.900433
341.496097	287.044003
340.457225	286.594536
339.427356	286.879518
338.357700	286.805536
336.451751	286.309507
335.503838	286.237962
334.882228	286.354725
334.194617	286.346446
333.113768	286.294928
332.318596	286.056140
331.536918	285.944803
331.555155	285.984138
331.468616	285.961484
331.269876	285.946025
331.200145	285.954315
331.312135	286.010234
331.535036	285.986861
331.720674	286.255865
332.373188	286.410145
332.558845	286.254152
332.782090	286.209701
333.373265	286.391527
333.677587	286.376768
334.628177	286.490196
335.184387	286.616357
335.621824	286.572496
336.275163	286.287473
337.720524	286.193595
338.395126	286.362629
339.767286	286.459480
340.731997	286.469191
342.437635	286.671233
344.509573	286.846834
345.967649	286.778577
347.643629	286.864651
349.795035	287.353901
351.601826	287.215590
353.338674	287.447196
355.530249	287.568683
357.806145	287.965618
359.942213	287.985906
361.560254	288.071882
363.954193	288.193798
365.973342	288.217362
368.244460	288.609721
370.522069	288.414483
372.721955	288.243634
375.217179	288.481145
376.975692	288.472654
380.060124	288.946786
382.901010	288.865320
385.577975	289.077975
388.541835	289.214575
391.251687	289.223347
394.250000	289.531077
397.666231	289.994775
400.397742	290.077689
403.897283	290.497018
406.662691	290.457256
409.996676	290.595080
412.798303	290.756527
416.002001	291.149433
419.088731	291.126295
421.805537	291.103309
424.931012	290.990329
427.723097	290.895669
430.694500	291.319417
433.607843	291.467426
436.813893	291.699869
440.026333	291.579961
443.162127	291.838521
446.432711	292.220219
449.585642	292.314861
453.210458	292.838562
455.929836	292.632111
459.548181	292.848756
462.479443	293.080329
465.785438	293.518686
468.565133	293.650032
471.498401	293.603327
474.000668	293.683578
476.752597	293.531169
479.313293	293.875084
482.513141	294.026938
484.742058	293.904066
486.931196	294.122244
490.039128	294.309173
492.199732	294.454424
494.551047	294.419503
497.033965	295.000000
499.664887	295.098131
501.827215	294.737975
504.049934	294.984231
506.137013	295.336364
508.162000	295.346000
510.989987	295.775701
512.753398	295.574757
513.898590	295.680994
515.958842	295.753698
517.476287	296.099593
518.909212	296.194259
520.134237	295.949831
521.373889	295.697198
522.485920	296.056320
523.661412	296.032214
524.433646	296.000670
525.498647	295.955345
526.310345	295.988966
527.403872	295.969292
527.944444	295.736626
528.827119	296.099661
529.292550	296.207792
530.007397	295.903161
530.643817	295.825269
530.857434	295.817379
531.097147	295.904212
531.182810	296.057299
531.499324	296.012838
531.393796	296.004720
530.909527	296.057574
530.517473	296.261425
530.425876	296.150943
529.904667	295.933333
528.976011	295.673749
527.998669	295.740519
527.120783	295.657220
526.219333	295.632000
525.561724	295.790333
524.341254	295.838944
522.931673	295.593870
521.786131	295.507453
520.659658	295.466491
519.276042	295.397786
517.668011	295.612231
516.421865	295.312540
514.660053	295.472884
513.037203	295.152662
511.098404	295.430186
509.272374	295.133593
507.064020	294.768886
504.355511	295.031586
502.715182	294.956713
500.156697	294.873212
497.552375	294.813923
495.168142	294.210493
492.747409	294.292746
489.872659	294.232834
487.096587	294.000644
484.924401	293.940381
482.093393	293.635959
479.489744	293.487821
477.106450	293.419537
473.902202	293.582254
471.066877	293.497792
468.239796	293.161352
465.712389	293.140329
462.450758	293.030303
459.567203	293.045659
456.612680	292.816698
453.255696	292.593671
449.803238	292.679328
446.941698	292.367554
443.639292	291.751737
440.471100	291.697328
437.390495	291.447013
434.255699	291.042514
430.984167	290.932869
428.219801	290.995641
424.855452	290.678505
421.908170	290.613046
418.900061	290.402803
415.935006	290.458816
412.690643	290.264799
409.465753	290.138291
406.707535	289.981481
403.728254	289.884444
401.097055	289.802544
398.145700	289.447368
395.232166	289.352140
392.070440	289.158491
389.001944	288.898898
386.501311	288.910223
383.951697	288.835509
381.014726	288.728916
378.014848	288.422208
375.593771	288.011266
373.015779	288.236686
370.822180	288.094965
368.429054	287.768919
365.977971	287.571429
363.911340	287.202062
361.690749	287.180959
359.681129	287.310606
358.131237	287.745728
355.888814	287.476892
353.567867	287.070637
351.890646	287.125172
350.085774	287.011855
348.693457	286.841394
346.782818	286.714089
345.121321	286.597990
343.747716	286.796908
342.261484	286.337102
341.147495	286.473536
339.453399	286.362299
337.984694	286.150875
337.194580	286.052814
336.133574	286.077256
335.587738	286.059901
335.298172	286.099859
334.991398	286.413620
334.333801	286.478261
333.577475	286.065997
333.357498	286.034115
332.946064	285.827259
332.532895	285.915205
332.352000	285.984000
331.997791	286.005891
331.782861	285.911402
331.928258	285.963397
331.995643	285.936093
332.115468	286.026870
332.386561	286.033237
332.661029	285.930233
333.488987	286.208517
334.254442	286.252310
334.671674	286.245351
335.810036	286.516846
336.401569	286.283880
337.543066	286.550365
338.917722	286.724332
339.674838	286.736121
341.149337	286.693650
342.398721	286.737740
343.830758	286.824438
345.034698	286.895212
346.854781	287.102085
349.088136	287.560000
350.216292	287.485955
351.924451	287.337225
353.712722	287.557456
356.137834	287.827004
357.517450	287.856376
359.226298	287.552941
361.686078	287.972557
363.466530	287.916667
365.964408	288.222450
367.900585	288.079922
370.184011	288.367333
373.279683	288.517810
375.670493	288.844024
378.217101	289.302605
380.839893	289.180120
383.591823	289.438338
385.483648	289.167925
388.590670	289.422470
391.512211	289.762211
394.175932	290.177894
397.133940	290.139792
399.699363	290.247771
402.641411	290.452645
405.474416	290.356286
408.247736	290.644890
411.143486	290.717432
413.687578	291.030740
416.918902	291.143678
420.030511	291.278331
422.679404	291.562824
426.100573	291.669637
428.878540	291.801762
432.348721	292.031815
434.750155	292.316346
437.282971	292.098592
441.211953	292.184843
444.299685	292.515457
446.765180	292.749071
449.749690	292.799876
452.747163	293.124842
455.532094	293.043191
458.209554	293.600637
460.755287	293.600000
463.330986	294.055698
465.636927	294.058240
468.528905	293.955105
471.493679	293.943742
473.793210	294.016667
476.214744	294.223077
478.732154	294.316488
481.138942	294.376673
483.527354	294.711196
485.871087	294.868631
488.007069	295.068123
490.306452	295.263648
491.793303	295.145525
494.259140	295.432328
496.401852	295.619136
498.080519	295.753247
500.031546	295.752681
501.362929	295.874271
502.896250	295.838125
504.246688	295.609464
505.587847	295.811757
506.944338	296.033269
507.976636	296.062083
509.384615	296.032156
510.381935	295.968387
511.321196	296.168401
512.499674	296.186971
513.088431	296.294548
514.025856	296.214609
514.613990	296.351036
515.293071	296.525747
515.843150	296.550576
516.412862	296.682958
516.809891	296.759152
517.023748	296.865854
517.073342	296.903061
517.435095	296.506849
517.152047	296.596491
517.115584	296.645455
516.587353	296.548892
516.156129	296.435484
515.685897	296.464744
515.018832	296.466416
514.791798	296.432808
513.303639	296.297365
512.646912	295.965689
511.458001	296.007357
510.988286	296.199753
510.016383	296.016383
509.002505	296.177833
508.040541	296.127150
506.163085	295.857775
504.892879	295.703406
503.130829	295.643782
502.025657	295.796621
499.983821	295.630989
497.752513	295.819724
496.136091	295.477818
493.996217	294.987390
492.105518	295.300182
489.186047	295.124450
486.798048	295.115314
484.564881	294.704762
482.267824	294.734656
479.537341	294.598057
477.424581	294.369336
475.103704	294.547531
472.219255	294.235404
470.171856	293.956413
467.558348	293.965889
465.025754	294.033920
462.277477	294.166967
460.016374	293.733172
456.866424	293.779599
453.997022	293.762359
451.465621	293.608565
448.498221	293.192171
445.108323	293.169523
442.038818	292.743917
438.414208	292.446117
435.358298	292.597963
432.419183	292.124926
429.461491	292.167081
426.136929	291.557202
423.171535	291.561218
420.633193	291.390860
417.546603	291.223692
414.639284	291.625077
411.706378	291.157040
408.774436	290.879699
405.674219	290.745867
402.887668	290.826618
400.305780	290.648229
397.548972	290.579807
394.622546	290.257125
391.703457	290.362038
388.630975	290.007648
385.536600	289.617866
382.784277	289.754088
379.958095	289.228571
376.484191	288.624923
374.620027	289.118037
371.882058	288.880803
369.306242	289.182055
367.010204	288.850765
364.173149	288.511920
361.668464	288.239892
359.896887	288.257458
358.181937	287.912958
356.139610	287.927922
353.596445	287.814352
352.417722	287.932712
350.382410	287.796091
348.601351	288.241216
346.492338	287.828781
344.333333	287.747984
342.788382	287.376902
340.729223	287.136729
339.558533	287.045134
338.159352	287.095881
336.272284	286.685237
335.062937	286.412587
333.865661	286.499657
332.432720	286.605524
331.850442	286.650578
330.953258	286.512040
330.360084	286.335659
329.249641	286.291248
328.827240	286.227957
328.204545	286.339489
327.891176	286.061765
327.670022	286.341481
327.637536	286.450573
327.341899	286.474661
327.129193	286.521056
326.285084	286.445996
326.394224	286.392780
326.305134	286.539407
326.355114	286.561080
326.324574	286.492898
326.402282	286.460770
326.652268	286.293017
327.011119	286.299481
327.623105	286.194224
328.760057	286.287356
329.448251	286.491254
330.601865	286.761836
332.132332	286.760372
333.269441	286.939291
334.738026	287.375181
335.631761	287.237171
336.822581	287.022440
338.133047	287.213162
339.546218	286.902661
341.043321	287.242599
342.738862	287.229609
344.382498	287.415667
345.564821	287.475823
347.703039	287.557320
348.989369	287.489015
351.204068	287.621017
353.222222	287.454352
355.516064	287.793173
357.920657	287.807114
360.610687	288.441360
362.717450	288.520805
365.343750	288.655556
368.011666	288.864550
370.451724	288.900690
373.003394	288.895451
375.746021	289.454244
378.872715	289.494922
381.621212	289.514493
384.260246	289.959016
386.554312	289.946675
389.257031	289.603663
391.934066	289.691015
394.860465	290.020672
397.554509	289.706595
400.953312	290.745741
403.636304	290.500990
406.801541	290.783558
409.596301	290.702168
412.842348	291.147098
415.995000	291.615000
419.449677	291.769677
422.847649	291.423824
426.135538	291.973411
429.510777	292.077727
432.878598	292.123279
435.830977	292.330334
438.968983	292.865385
442.172990	292.987781
444.548934	292.629235
447.510319	292.634772
450.701953	293.010082
453.634206	292.867925
456.738550	293.208651
459.430949	293.316893
461.909206	293.350567
464.744962	293.265113
467.772727	293.239726
470.726692	293.655172
473.853689	293.823931
476.522948	294.228184
479.807741	294.666878
482.306768	294.841240
485.290536	294.964262
487.966434	295.049398
490.168317	295.079208
492.623859	295.339635
495.155792	295.462051
497.071523	295.394040
498.818960	295.669519
500.851609	295.160867
502.973058	295.060150
504.561462	295.382060
506.528215	295.700131
508.089504	295.434643
509.728209	295.593686
511.742542	295.522698
513.089572	295.879679
514.840292	296.192180
516.104278	296.206551
517.633065	296.294355
519.277962	296.457975
520.423706	296.500681
521.779491	296.491287
522.563800	296.452150
523.179104	296.746269
523.876458	296.591627
524.943672	296.668985
525.490223	296.693189
525.737422	296.505858
525.781806	296.506840
