x	y
511.363574	295.028179
509.220654	294.906350
506.578740	294.735564
504.285330	294.952894
501.480208	294.979234
499.273616	294.962866
496.442402	294.098039
493.578844	294.438239
490.702806	294.100765
487.731325	293.762712
485.221790	294.189364
482.328889	293.805079
478.946926	293.480259
475.895615	293.100062
472.756266	293.204261
470.031153	293.109034
466.875926	293.104321
463.532992	292.685458
460.482584	292.756175
457.143227	292.542450
453.852294	292.658077
450.764818	292.385596
447.435057	292.462169
444.161702	292.182979
440.350219	291.699812
437.184957	291.845869
433.768070	291.725330
430.225806	291.526675
426.924066	290.932027
423.276316	290.710526
420.313470	290.347610
416.451511	289.969773
412.772136	289.863777
409.771084	289.943564
406.746479	289.896927
403.750936	289.807740
400.144670	289.478426
397.402718	289.578752
394.567030	289.254650
391.514557	289.335443
388.319823	288.998100
384.744971	288.926671
381.802888	288.684244
378.888381	288.609008
376.056122	288.387117
372.698842	288.097169
369.497989	287.601206
367.204678	287.923977
364.470471	287.643663
361.889106	287.697978
359.227763	287.395553
356.494667	287.440000
354.258563	287.020148
351.622873	287.179033
349.975974	287.025974
347.371429	287.124252
345.320187	286.941176
342.892523	286.712951
341.493984	287.051471
339.642282	286.875839
337.371388	286.331924
335.849333	286.093333
333.529915	286.110399
332.248412	286.103740
330.549474	285.995789
329.252677	286.134904
327.537190	285.719008
326.200858	285.524660
325.262753	285.761705
324.547183	285.721127
323.304626	285.456228
322.391579	285.482105
321.463757	285.781805
320.579537	285.560617
320.137355	285.489826
320.229710	285.728261
319.978371	285.881759
319.778261	285.955072
319.587065	285.999289
319.079537	285.887925
319.011511	285.853957
318.937500	285.891715
318.886397	285.814038
318.982869	285.824411
319.049356	285.858369
319.051920	285.714083
319.385735	285.682678
320.144176	285.818892
320.603424	285.742511
320.941219	285.717563
322.126381	285.892265
323.501418	286.053901
324.897069	286.425358
326.007868	286.376252
327.293909	286.484419
328.089918	286.326975
330.071582	286.630637
331.967546	287.087221
333.054242	287.298331
334.917123	287.377397
335.919083	287.391773
337.515689	287.101637
339.245591	287.282822
341.451591	287.686527
343.324590	287.642623
345.067649	287.456798
347.330065	287.472549
349.644770	287.768495
351.488697	287.771941
354.323077	287.983333
356.441628	288.171448
359.319614	288.319614
361.918817	288.587791
364.577905	288.950830
366.973408	289.012987
369.714839	289.134194
372.397783	289.629926
375.048438	289.623327
378.117073	289.970122
381.410616	290.067724
384.027044	290.183159
386.679856	290.056954
389.616000	290.374769
392.264901	290.462372
395.570567	290.929433
398.953248	291.210079
401.686761	290.874704
404.739827	291.172626
407.810185	290.795139
410.924196	291.565797
414.192217	291.863797
417.772329	292.025686
420.705989	291.760436
423.589180	292.315696
426.998165	292.413456
430.147659	292.811525
433.472501	293.181549
436.343547	293.178550
439.139588	292.966819
442.054217	293.024096
444.947831	293.033411
448.064943	293.603127
450.909037	293.659485
453.673988	293.646821
456.532716	293.749383
459.522941	293.711176
462.307320	294.196007
464.909305	294.570671
467.831689	294.527568
470.030760	294.341375
473.218095	294.312762
476.145421	295.082302
478.571174	295.254448
480.817132	295.479344
482.802424	295.443030
485.467449	295.346041
487.282228	295.409887
489.397041	295.796450
491.719287	295.790541
493.364906	295.811172
494.962401	295.682232
496.228625	295.885378
498.191822	296.135899
499.983040	296.140075
501.547720	296.370821
502.829510	295.806572
503.983791	295.807357
505.319707	296.130567
506.839925	296.582549
508.124847	296.348837
508.835907	296.337838
509.738213	296.413151
510.766913	296.627306
511.775536	296.692938
512.371771	296.600504
513.190903	296.648943
513.366771	296.713480
513.475142	296.616111
513.624216	296.469887
513.739322	296.435930
513.870947	296.548633
513.843001	296.434426
513.616206	296.372487
513.484886	296.218384
513.087960	296.255770
512.924233	296.145272
512.372427	296.144729
511.426076	296.043044
510.894801	295.982263
509.927939	295.734513
509.134161	296.216770
508.359337	296.119165
507.379817	296.031193
506.003586	295.869097
504.668335	295.799750
503.261790	295.874849
501.857054	296.106277
499.977681	295.921885
498.317412	295.400846
496.332709	295.431960
494.088322	295.017783
492.482197	294.907664
490.663840	295.138098
488.067949	294.679495
485.992476	294.276489
484.189602	294.226911
481.909383	294.566195
479.627921	294.403235
477.647460	294.179058
474.720024	294.129032
471.997615	294.059034
469.897837	293.501803
467.592460	293.766008
464.894421	293.848830
461.986087	293.764638
459.215331	293.541837
456.025195	293.553689
453.112064	293.391081
450.448213	292.989703
447.673759	292.580378
444.973732	292.392792
441.804242	292.219394
438.553433	292.158806
435.325940	292.223044
432.840828	291.914201
429.704615	291.708923
426.348063	291.538136
423.856711	291.316808
421.317705	291.241209
