x	y
500.897683	295.018662
501.494360	295.233577
502.293529	295.386925
503.176152	295.596883
504.029093	295.621110
505.328635	295.851377
505.895847	295.983520
506.458333	296.143880
507.059094	296.518713
507.254282	296.478261
507.435982	296.476034
507.254748	296.232482
507.245637	296.171299
507.310526	296.109211
506.935990	295.890268
506.352941	295.742484
505.885809	295.506271
505.161331	295.259887
504.464744	295.299359
504.141587	295.415873
503.551341	295.162852
502.967784	295.280928
502.309463	295.228261
501.446417	295.310980
500.592122	295.311944
500.011681	295.393251
498.878173	295.439086
497.781127	295.408912
496.474839	295.601935
495.541199	295.367665
493.883521	295.773660
492.029898	295.295165
490.237721	294.870334
488.512071	294.702033
486.580982	294.468098
484.179124	294.709407
482.600490	294.604167
479.922397	294.369716
477.885960	293.939301
476.111945	293.759850
473.740975	294.004433
471.570913	293.629808
469.878169	293.734694
467.900972	293.347509
466.201893	293.697161
463.861920	293.317028
461.840074	293.727941
459.649939	293.496940
456.941001	293.491657
454.687772	293.146493
452.302786	293.495356
449.587430	293.172993
446.770603	292.759533
443.720437	293.019406
440.303628	292.441757
437.869332	291.948687
434.971805	292.431704
432.348866	291.917229
429.463830	291.476596
427.079233	291.346326
424.617593	290.978619
422.054122	291.290120
419.826772	291.307692
417.711906	291.214682
414.841280	291.430991
412.510809	291.203830
410.216182	291.087231
407.540508	290.616687
404.956771	290.854418
402.468611	290.648066
399.617942	290.493099
396.912304	290.338351
394.277536	290.174860
391.474160	289.987080
388.533925	289.675967
386.127034	289.280350
383.392132	288.645305
381.070396	288.540541
378.751651	288.530383
376.989025	288.357650
374.469292	288.269025
372.624753	288.265306
370.858847	288.377734
369.295775	288.735077
368.092629	288.978474
365.693197	288.794558
363.932203	288.626467
362.292440	288.650531
360.395833	288.455556
358.713999	288.221031
357.018519	288.097394
355.066711	287.768824
353.372124	287.560893
351.596336	287.574627
349.712162	287.161486
348.983927	287.194270
346.760899	286.808583
345.554698	287.035063
344.577417	286.675456
344.107870	286.695387
343.054937	286.636300
342.549728	286.897139
341.976678	286.733569
341.615223	287.037011
341.251067	287.034139
341.040845	286.952817
340.927915	287.154770
340.098917	287.059206
339.613827	286.904330
339.248389	287.056550
339.172981	287.007148
338.669930	286.637762
338.122581	286.633692
337.968332	286.691766
337.955556	286.350538
337.887712	286.346045
