x	y
574.195420	307.614504
576.646024	306.915552
578.543939	307.083333
580.880899	306.758801
583.300741	306.848889
586.185759	306.297988
588.061550	306.027516
591.205314	305.592593
593.573833	304.979342
594.864908	305.102318
596.440457	305.030179
598.559253	304.639610
600.991297	303.902524
602.453895	303.709857
604.481579	303.466667
606.218570	303.362366
607.511703	303.051655
608.493703	303.388749
610.639461	302.435024
612.182533	302.195633
612.826159	301.808775
614.927609	301.698653
616.375433	301.315744
617.386248	301.139219
618.783833	301.034514
621.192373	300.705085
622.321839	301.099027
623.213533	300.738137
624.384418	300.768836
625.351206	300.460232
625.857513	300.369603
626.843049	299.929148
627.452196	300.136090
628.066667	299.958120
628.706195	299.615929
629.236052	299.424034
629.649139	299.716228
630.308566	299.056818
630.663176	298.665794
630.750433	298.719237
631.331862	298.835834
631.650722	298.868231
632.392638	298.740578
632.480565	298.726148
632.654246	298.745234
632.902354	298.884045
632.896582	298.927257
632.955806	298.741768
632.821678	298.612762
632.412318	298.563730
632.562874	298.531223
632.641997	298.432874
632.253605	298.389313
631.150350	297.911713
630.933047	297.820601
630.361186	298.007188
630.015031	298.128205
629.166243	298.195929
628.572926	298.018341
627.995045	297.784476
627.297274	298.038330
626.662500	297.893333
626.147109	297.964286
624.578020	298.185403
624.311148	298.167221
623.187282	298.199477
621.405965	298.716653
620.359256	298.744717
618.912338	298.536526
617.951807	298.492369
616.370647	298.794362
615.139319	298.533282
613.510851	298.787980
612.026549	298.525342
610.775327	298.583333
608.800816	298.644082
607.632843	298.619675
605.898671	298.303156
604.341014	298.549155
602.388525	299.064754
600.769596	299.129850
599.083270	299.338380
596.845070	299.228482
595.425439	299.482456
593.989946	299.744780
591.507508	299.743994
590.124242	299.623485
588.398065	299.479167
586.398566	299.777061
583.785118	300.167806
582.040588	300.023093
579.657368	300.062232
577.775826	300.093465
575.835327	300.041520
572.606667	300.284444
570.784129	300.373907
568.417143	300.613571
567.217599	300.521828
564.557775	300.674750
562.026243	300.533840
560.817227	300.852241
557.870545	301.124364
556.095238	301.068027
553.549033	301.258172
551.733827	301.403639
548.393680	301.323897
546.673611	301.583333
543.782440	301.584248
541.443383	301.830832
539.342587	301.911672
537.380612	302.320755
534.683727	301.742126
532.561846	302.018462
529.898854	302.138908
527.935961	302.157635
526.036962	302.397177
523.987959	302.379594
522.352759	302.262864
519.643915	302.885383
517.344132	302.918704
515.064961	303.531496
512.976103	303.392157
511.299351	303.601948
509.314394	303.647727
507.042341	303.282067
504.302205	303.661479
501.784570	303.805341
500.054209	304.088648
498.390441	303.643700
495.915670	303.640550
494.232399	303.484735
492.314060	303.684723
490.407547	304.137107
489.154652	304.184843
487.597779	304.206663
486.046512	304.348209
484.586416	304.278351
482.759949	304.544288
481.076093	304.970641
479.546776	304.630847
478.461870	304.841943
477.181706	304.967244
475.362229	304.835294
473.204889	304.853318
472.458957	305.020371
471.048481	304.887266
469.873955	305.113501
468.848801	305.384143
467.298926	305.310263
466.410824	305.370234
465.082702	305.396040
463.989678	305.133576
463.792874	305.109300
462.766864	305.219527
462.564923	305.571077
462.526506	305.469277
461.652491	305.397934
461.074663	305.437576
460.885873	305.592844
460.476339	305.738481
459.911659	305.970553
459.195366	305.633688
459.017934	305.623377
458.762492	305.751388
458.088469	305.685174
457.801688	305.662447
457.793670	305.609251
457.731026	305.493625
457.632803	305.582007
457.652413	305.500916
457.865012	305.619855
458.326152	305.719330
458.524522	305.599282
459.485893	305.834483
459.935425	305.894387
460.668519	305.816049
461.138973	305.838671
462.005364	306.075685
462.786715	305.809872
462.980012	305.723804
463.633456	305.734317
463.891925	305.690346
464.531498	305.637920
465.737342	305.723418
466.297042	305.501573
467.791271	305.433903
469.078233	305.522397
469.755639	305.213659
471.118644	305.345261
472.098220	305.358502
474.048943	305.111178
476.687922	305.672594
477.629294	305.877511
479.111879	305.350094
480.604783	305.415356
481.713094	305.578306
483.205756	305.655848
485.225545	305.553894
486.437805	305.506707
488.167406	305.299302
489.747315	305.108023
491.889294	304.944039
493.933290	305.091321
496.059693	304.735816
497.536662	304.893173
498.935786	304.809227
501.666667	304.685874
503.033457	304.614622
505.488029	304.727440
507.858618	304.861201
509.525633	304.932057
512.008333	304.823718
515.080402	304.793342
517.051625	304.793499
518.162450	304.533955
520.337888	304.366460
522.165223	304.546302
524.170978	304.368454
526.420141	304.102630
528.166780	303.982373
530.274183	303.836003
532.152368	303.776939
534.216287	303.491205
536.575860	303.666217
538.653061	303.482993
541.815415	303.347150
543.738652	303.235901
546.030242	302.909274
548.279782	302.896528
550.699457	303.118046
552.957756	303.029703
555.112296	303.331912
557.560163	303.004759
558.782979	302.995035
561.350685	302.803425
563.203068	303.048941
564.188097	302.973549
566.318900	302.762199
568.352265	302.519770
570.683755	302.207942
572.648241	302.134961
574.260386	302.197329
576.482587	302.353234
577.834828	302.183857
579.932624	301.992908
581.630862	301.820726
584.325185	301.960741
586.595890	301.669711
587.321190	301.991078
588.829662	301.770925
590.746185	301.809639
592.521901	301.306607
593.847405	301.639814
595.211234	301.840981
596.258162	301.788155
597.776961	301.823529
598.663515	301.401891
599.494024	301.338645
601.739768	301.408494
603.257387	301.322706
604.421812	301.234964
604.934439	301.000790
606.538721	300.855219
607.811606	300.705882
608.425880	301.117117
609.728732	301.189406
610.459658	301.554197
611.238731	301.371452
612.518242	300.973466
613.531782	301.318711
614.283492	301.039758
614.882609	301.005217
614.961971	301.004322
616.303081	300.634471
616.272727	300.829437
616.225751	300.933047
616.428695	301.095938
616.844388	301.136905
617.000000	301.092608
617.164103	301.207692
617.337804	301.360436
617.703863	301.646352
617.738540	301.782683
618.013710	301.748072
618.204152	301.873702
618.083627	301.876761
617.887986	302.147245
617.864769	302.088968
617.754200	302.322723
617.596522	302.397391
617.285467	302.422145
616.741166	302.545053
615.920271	302.480916
615.223498	302.729682
614.109544	302.724481
613.717354	302.964777
613.328152	303.150259
612.011628	303.430233
611.882152	303.245090
611.083679	303.579122
609.854059	304.141623
609.071306	304.287801
608.270798	304.617148
607.690265	304.698230
606.511020	304.766531
605.038328	305.051394
603.903061	305.484694
602.289916	305.763025
601.150174	305.885417
599.772364	305.637380
597.525235	306.396920
595.469661	306.904649
594.408065	307.070968
592.855619	306.719442
591.898156	306.860465
589.870235	307.330900
588.897674	307.722481
586.738211	308.631707
585.287994	308.514438
583.567627	308.639320
581.865863	309.134137
580.430044	309.350515
577.512695	309.754300
575.770849	309.882044
574.333079	310.164248
571.820988	310.572531
569.678848	310.832045
567.069475	311.249815
564.903361	311.403361
562.896302	312.009427
560.865810	311.838687
558.530909	311.877091
555.988270	312.470674
553.244550	312.678474
550.934670	312.915367
549.117166	313.769074
546.152174	314.124825
544.247875	314.280453
542.256720	313.886425
539.979359	314.577224
537.286102	314.976271
534.908901	315.544506
532.711718	315.332889
530.674983	315.774107
527.210235	316.076072
524.988402	316.039304
522.171233	316.613014
519.217781	316.651964
517.116667	316.346667
514.740397	317.084106
511.846351	317.168374
508.501017	317.306441
506.070968	317.546452
503.751854	317.587323
501.614035	317.623782
499.586815	318.019582
497.256291	318.354305
495.025173	318.451227
492.064103	318.943995
490.263682	319.103856
487.329663	319.669689
484.921305	319.741523
482.911746	319.729646
479.876543	320.105913
477.712462	319.971429
475.083990	320.089239
472.663098	320.380353
470.009470	320.074495
467.948816	320.320537
465.376837	320.368607
462.548197	320.568525
460.987226	320.938564
458.939109	321.338983
456.818949	321.792343
455.287049	321.800747
452.863370	321.612232
450.917633	321.442343
449.247028	322.040951
447.668200	322.270696
445.394092	321.986172
442.975849	322.023499
440.944619	322.258024
438.787819	322.445318
437.030511	322.422790
435.128335	322.177891
433.436737	322.323057
431.614564	322.772756
430.324903	322.875486
429.004353	323.090174
426.976852	322.619709
425.966709	322.983355
424.595639	323.283489
423.092689	323.073107
422.223807	323.175449
420.910749	323.462541
420.265625	323.526250
419.143738	323.588526
418.240693	323.827985
417.151345	323.652283
416.360688	324.069490
415.464240	324.118774
414.206254	323.835662
413.175405	323.910032
412.608247	323.887242
411.668435	323.897878
410.923423	323.693050
410.102462	323.528942
410.065963	323.728892
409.458931	323.659713
409.400522	323.701892
409.257962	323.668153
409.039526	323.863636
408.937296	323.970607
408.944047	323.836695
408.915465	323.904325
408.840260	323.874675
408.976578	323.938842
408.923077	323.875641
409.054768	323.859536
409.191299	323.738324
409.261783	323.812739
409.574742	323.878222
409.567203	323.674598
410.554362	323.622819
410.699229	323.232648
411.000663	323.351889
411.613725	323.576471
412.952600	323.362080
413.470471	323.275382
414.820282	322.985237
415.629579	322.923338
417.180128	323.009615
417.983777	322.505516
419.067613	322.727519
420.614504	322.754453
421.996596	322.591559
423.241401	322.326752
424.408701	321.917601
425.537169	321.897220
426.690535	321.633873
427.750163	321.660796
429.541719	320.934620
431.046314	321.107632
432.546250	321.308125
434.254476	321.271739
436.284709	321.183621
438.417938	320.974985
439.849711	320.734104
442.341615	320.934161
444.213512	320.416189
445.849586	320.029318
448.404848	320.523030
450.528544	320.075048
452.616405	319.727382
454.657723	319.312827
456.929154	318.966771
459.119848	318.647432
461.091870	318.424323
463.281327	318.042383
465.756179	318.254509
467.597081	317.595812
469.756516	317.570884
472.688703	317.384467
475.603165	316.823494
478.375409	317.560497
480.873322	316.657326
483.357143	316.498701
486.581250	316.408750
489.430693	316.238243
492.237396	316.223995
494.681790	316.122624
497.873239	315.000000
501.179599	314.742804
503.220384	313.986102
505.645442	313.606568
508.580834	313.403520
511.194444	313.688347
514.326959	312.838371
516.019595	312.145946
518.981362	311.601542
522.084266	311.458855
524.952045	311.523272
527.134766	310.868490
530.312545	309.931183
534.238569	309.282306
537.753793	309.606207
540.490459	309.544876
543.251763	309.172073
545.916727	308.850833
548.908407	309.019139
550.839405	308.115242
555.068613	307.155474
556.605114	307.737216
559.915229	307.317329
562.256323	306.734792
564.559605	306.626424
566.690407	306.292878
569.357798	305.661315
572.167414	305.210762
575.127273	304.834182
578.174803	304.403937
580.637736	304.404528
583.300231	304.297921
586.044220	304.065943
588.688513	303.818851
590.379920	303.355020
